(-0.577, 0.577, 0.577, 0.000)
(-0.569, 0.569, 0.589, 4.327)
(-0.558, 0.558, 0.596, 8.628)
(-0.543, 0.543, 0.600, 12.877)
(-0.524, 0.524, 0.601, 17.050)
(-0.503, 0.503, 0.598, 21.121)
(-0.479, 0.479, 0.592, 25.066)
(-0.452, 0.452, 0.581, 28.862)
(-0.422, 0.422, 0.568, 32.485)
(-0.390, 0.390, 0.551, 35.915)
(-0.355, 0.355, 0.531, 39.131)
(-0.318, 0.318, 0.507, 42.113)
(-0.279, 0.279, 0.481, 44.844)
(-0.239, 0.239, 0.452, 47.308)
(-0.197, 0.197, 0.420, 49.489)
(-0.154, 0.154, 0.385, 51.376)
(-0.110, 0.110, 0.348, 52.956)
(-0.066, 0.066, 0.309, 54.220)
(-0.021, 0.021, 0.269, 55.161)
(0.024, -0.024, 0.226, 55.773)
(0.069, -0.069, 0.183, 56.052)
(0.113, -0.113, 0.138, 55.997)
(0.157, -0.157, 0.093, 55.609)
(0.200, -0.200, 0.046, 54.888)
(0.242, -0.242, 0.000, 53.840)
